user_id,comment_text,post_id,thread_id,post_time
2259558,"Hello, I'm Martin and I'm currently living in New Mexico, United States",5,4,1359407263
2156746,"Hi! I'm Heather from Salt Lake City.",5,4,1359408736
2156746,"I have family in Seattle! I look forward to moving there for my Masters. :)",32,4,1359408808
2156746,Holla!,55,4,1359408846
447052,"It is not bank specific but is affecting ALL visa and mastercard transactions.",58,8,1359409037
2422919,"Hey, I am from Greece, too. My name is Paschalia!",37,4,1359409302
721404,"I tried Amex as well and it too did not work.",58,8,1359409373
2218342,"Hello everyone. I´m Javier from Madrid (Spain). This is my first Coursera course. Hopefully other Math classes will follow. ",76,4,1359409754
735849,"Hi Gabbi,
I agree. It's amazing that we represent the world in this course; I'm from Washington, DC!",41,4,1359409983
1583171,"Attempted it with + sign still didn't give the correct answer",87,19,1359410094
735849,"I feel like you do, Donna--horrible in math--that is. I'm hoping like you to get a better understanding here. I'm glad we have an opportunity to learn this way. ",30,4,1359410241
56434,"Its outrageous that a free course would *recommend* the purchase of a software license though. 

Immediately we've segregated the students of this course into two groups, those that get a recommended, individually tailored version and those that can't afford to. ",77,14,1359410260
1286568,"Well if you have the $60 to spend then I would say it is probably useful. I have used other forms of Math programs in the past and they have helped me a ton. I am still undecided as to if I want to pay the $50 yet but I think I am going to see how it goes before I decide. ",15,4,1359410299
2249986,"I'm just starting so I don't know how helpful it will be, but for $1 I got a good used Algebra text at a thrift store--lots of problems!  Every other one has the answer in the back.  Contents seems to match this course.",77,14,1359410817
2452924,"try going to ""view"" at the top of your screen, and selecting zoom, then zoom in, or click ctrl +/command + for macs  ",97,19,1359410896
1583171,"Same here",94,19,1359410960
1097097,"Hi Klara and Kyle,

    I just answered this question assuming that -2 is for the whole expression. And got it right.
Think as to what happens to (4/6)^-2. You can leave the answer as a fraction. Any expression raised to a negative exponent is the reciprocal of that expression raised to the positive exponent. Express the fraction in its simplest form. See whether this clue helped.",103,24,1359411122
2051610,"I would have to agree!  I am so hyped up about Coursera and I try to pass it on to people who might be interested.  It is always been a personal goal of mine to master algebra and someday geometry as well.  ",30,4,1359411223
