user_id,post_text,id,thread_id,post_time
1321055,"Discuss here any questions you have regarding Lectures associated with Week #1: Introduction, Algebra and Real Numbers. Exponents and Radicals.",1,1,1357850949
1321055,"Discuss here any questions you have regarding Lectures associated with Week #2: Polynomials: Basic Operations and Factoring. Rational Expressions: Basic Operations.",2,2,1357850995
857597,"http://www.facebook.com/groups/Algebra.PT/

Good luck to all.",3,3,1359405158
32042,"Where are you from?",4,4,1359405185
332018,"Hii, I am Ibrahim From Canada",5,4,1359405538
712913,"I'm Ramin from the UK. I took this course to revise some of my polynomials before heading off the route towards linear algebra",6,4,1359405570
72351,"There is a typo in one of the answers for quiz 1. It says 0=(-3)=(3), it should say 0=(-3)+(3).",7,5,1359405638
2264303,"I'm Dereck. I am from the USA.",8,4,1359405719
2264303,"I'm Dereck. I am from the USA.",9,4,1359405721
1961881,"I'm Abdelkader From Algeria",10,4,1359405749
2432910,"Hello, I am Mark and I am from the USA. NYC to be more specific.",11,4,1359405902
262312,"Hello.  I am Sherri and from the United States - Florida.  Good luck to everybody in class.  Have a great day!",12,4,1359405968
2431572,"Hi,
When is the first quiz due? I see there is a page with deadlines but I can't find them. Thanks!",13,6,1359406201
2431572,"Hi, I'm Alexis from New York. Is anyone else taking other courses this month?",14,4,1359406347
986898,"Hi there, I am Paula. I am in FL but I am from Colombia. Do you think the ALEKS thing is really useful. I do not want to a minimum of $60 and then found it was not useful at all?",15,4,1359406453
1570064,"Hi i'm Aleksey, Russia =)",16,4,1359406566
918397,"I'm Teon from Queens, NY!",17,4,1359406604
405002,"The problem summary:
Is it possible to get the length of the video placed into the title?  Most courses have the time in parenthesis after the title.  This allows for better planning when watching the videos.",18,7,1359406679
918397,"Its not that hard to just click on the video and check the time...",19,7,1359406779
1931290,"Hey, I'm Juan from the state of Massachusetts in the USA.",20,4,1359406796
1625267,"Hello, I'm Quinn from the Greater Boston Area in the U.S.!",21,4,1359406864
2103152,"Hi I'm Jason. I'm From Ottawa, ON in Canada.
",22,4,1359406916
721404,"When attempting to register for ALEKS I am receiving the following error:
""There were some errors in your request. Please verify the fields highlighted in red."" There are however no areas highlighted in red.
I am using the following school information:
  Country: USA
  State: CA
  School: Univ Of California Irvine
Is this correct?

The address details in the billing information is my South African address.

I have tried both Visa and Amex cards.
I have tried both IE and Chrome browsers.

Any ideas?

Regards,
Gary",23,8,1359406952
654774,"Hey, I'm a senior this year and I'm taking Algebra 2 this year but while I know this means that I'm taking two Algebra courses, I'm taking this one because I don't understand the way my teacher is teaching it at school and I'm hoping this will help me understand some more. 

So is there any other high school students here? What grade are you in and have you taken Algebra yet or anything beyond it?",24,9,1359407067
2405678,"I have two main questions about this:

1. When you sign up with a course code, are you signing up for *just* that course? This is not the only math course I want to take on coursera. Would I have to purchase a second licence for a second course?

2. When you sign up it wants school information. Should I put UC Irvine on there? If I then wanted to use it for a math course from a different university, could I?",25,10,1359407184
2405678,"Hi, I'm Keith (as can be seen above). I'm originally from Britain, currently living in Chile. Taking this course as a bit of revision (though complex numbers will be new to me, beyond the basic concept of what they are).",26,4,1359407295
2259558,"Hello, I'm Martin and currently living from New Mexico in USA",27,4,1359407431
1277812,"Hello, i'm Stela from Greece!",28,4,1359407578
1554745,"I'm Mostafa from Egypt",29,4,1359407586
2051610,"I'm Donna and like Martin, I also live in New Mexico USA.  I am absolutely horrible in math, but I am determined to get a better understanding of Algebra.  I checked out books from my library where I work and have been practicing with different problems.  Not sure if I will pass the class, but I am going to do my best.",30,4,1359407614
714719,"Please join:  https://www.facebook.com/groups/560873960607677/",31,11,1359407667
1866364,"Hi there! My name is Tameka and I live in Seattle,WA, USA. Happy to see so many people here!!",32,4,1359407750
666267,"I saw that too. ",33,5,1359407776
666267,"I'm from San Francisco, CA, USA. What's up?",34,4,1359407859
811367,"Coursera Malaysia Study Group is a long term study group for Malaysians who take MOOC courses continually. Our group has 100+ students and been active since July 2012. You are most welcome to join us for mutual learning support and friendships.
http://www.facebook.com/groups/327040077382932/",35,12,1359407865
1751010,"I don't know, but it doesnt work on my laptop",36,13,1359407978
1190707,"Hello guys! I am Tina and I live in Athens, Greece. My best friend convinced me to take this course in order to get a better understanding of Algebra. He has also enrolled even though he knows Calculus.
Greetings! <3",37,4,1359408040
2051610,"I have a question concerning the quizzes.  I see that the first quiz is dated for 2/3/13 and I was wondering if I have to do it that day or can I do it later? I may have to be out of town that day and I don't want to have my grade deducted if the quiz is not done that day.

Thanks!",38,6,1359408045
2168900,"I'm from the Bay Area of California. Good to see so many others here!",39,4,1359408069
1569747,"Hi, I am Roslyn and I am from Philadelphia, PA. I am taking this course to brush up on my math skills. This is my first Coursera course.",40,4,1359408128
2457624,"Hi There! I'm Gabbi from Maryland, it's so cool to see so many people on here!
",41,4,1359408188
2454616,"i am mohamed from Egypt
",42,4,1359408222
2051610,"Disregard my question, I found the answer in the Quizzes Index.  Sorry about that!  I should have looked there first.",43,6,1359408273
1359710,"for more experience i need to buy ALEKS license?",44,14,1359408327
1799987,"I have the same issue. maybe it doesn't accept international credit cards?",45,8,1359408397
1909885,"Picked that as the answer on the quiz, thinking it was the wrong answer...was confusing at first.",46,5,1359408424
2235585,"Hello all my name is Victoria Washington but I like being called Viki, I am from NYC and I look forward to an exciting course with numbers.",47,15,1359408450
1924516,"not the only type in the quizzes :-(",48,5,1359408468
2316703,"I have same issue.",49,8,1359408470
1730598,"Having the same issue in the UK. I've tried both UK and US credit cards. The error message is the same. The red highlight is subtle but it highlights almost everything, including my email address, address, phone number, etc.

Help from the staff would be appreciated.

Jonathan",50,8,1359408507
2381593,"hello everyone, I'm Matteo from Italy!",51,4,1359408510
2043726,"Hi i'm Chris from Seattle, WA",52,4,1359408525
2457624,"Hey, I'm a sophomore this year and i've taken some algebra already but math is pretty difficult for me, so i'm going to see if this works for me.",53,9,1359408615
2390746,"Hi, I'm Berta from Catalunya (Spain). This is my first Coursera course. ",54,4,1359408682
2441139,"Hello!  I'm Melanie from snowy Utah:)",55,4,1359408685
2385235,"Hi!  I'm Elizabeth from Dallas, Texas. This is my first Coursera course, I'm hoping to use it to CLEP  out of Algebra.  Does anyone have experience using coursera for this purpose?",56,4,1359408833
2156746,"Hey there! I'm Heather from Salt Lake City (USA!). This is my first Coursera course. I'm a Child Psychology major. ",57,4,1359408891
447052,"I work in a college bookstore and I have been told today that there is a problem with US Credit Cards. They are suppose to working on it. ",58,8,1359408956
2156746,"I'm having trouble choosing a course in ALEKS. The syllabus doesn't specify. 
Is the course PreCaulculs, Algebra, Pre-Algebra? I'm a little lost. Thanks!",59,10,1359408982
1622454,"Zacharias from Singapore. I'm an A level Student.",60,4,1359409005
2146501,"Hi everyone, my name is Jennifer and I'm from Houston, TX in the US. I haven't taken a math course since high school 15 years ago and I finally want to conquer my math phobia.  Good luck to all!
",61,4,1359409015
1979077,"Hi, I'm Lincoln from Ecuador, but now I'm living in Italy, this is my first course in Coursera.",62,4,1359409028
215147,"Hi Everyone. I am Kinjal from India. I was wondering if any of you are interested in studying or intereacting through Skype. My ID is xyzyzyx. Looking forward to hearing from you. Cheers.",63,16,1359409038
2404489,"Hi I am Karen from Columbia, SC",64,4,1359409092
2330568,"Hi, Im Jaime from Florida US. I'm a programmer, just got my degree on computer science and I always like math so i decided to take this class and have fun xD!",65,4,1359409140
363375,"There are also other mistakes. Like that from the fourth quiz. I didn't catch the meaning of brackets.",66,5,1359409153
2392668,"Hello everyone. I'm Kristina from North Carolina, USA",67,4,1359409237
2322057,"Hi everyone I am Doran.  I am from Vermont.  I work as a substitute teacher and was asked to sub a math class.  Well I felt pretty dumb so i registered to take an algebra class.  This is my first math class since 1986!",68,17,1359409262
1237047,"Lucy Here from NYC",69,4,1359409264
1730598,"Tried downloadinng the free trial after downloading new Java and i still cannot access. Don't pay for this program before you can demonstrate it works on your computer.

Jonathan",70,18,1359409341
2329634,"Hi! I'm Carol from Pocatello, Idaho, USA. I've been away from formal math classes for a long time. I'm taking this class as a review before tackling  all new material.",71,4,1359409436
1335601,"Mistake:
(2√7 = 3√2)(√7−5√2)

What is the mening of ""=""?

If you are also experiencing this issue, please upvote this post.",72,19,1359409470
2057854,"Hi I'm Lauren from St. Louis, Missouri",73,4,1359409479
2315141,"Hello I'm Francisco from Phoenix AZ",74,4,1359409493
175568,"The first bracket displays (2 sqrt 7 = 3 sqrt 2)

What does that mean?

If you are also experiencing this issue, please upvote this post.",75,20,1359409500
